epoch,loss,val_loss
0,119.31951522827148,94187.9140625
1,1124330.4752604167,133537744.0
2,195250314.66666666,20322136064.0
3,26939012352.0,311899712.0
4,46047044.666666664,974360.6875
5,843917.115234375,825.7105102539062
6,346.7754020690918,44.47592544555664
7,47.81527837117513,26.489137649536133
8,29.755627314249676,15.593289375305176
9,16.730321407318115,14.26582145690918
10,19.267419815063477,14.135065078735352
11,15.14237912495931,11.959985733032227
12,12.457586288452148,10.351263046264648
13,11.453091303507486,13.088876724243164
14,12.137641906738281,11.689210891723633
15,11.733253002166748,10.766160011291504
16,11.03631337483724,11.038900375366211
17,10.442671775817871,10.907170295715332
18,10.654152393341064,10.930031776428223
19,10.771628379821777,10.161957740783691
20,9.36100959777832,9.923822402954102
21,10.058465957641602,9.556509971618652
22,10.791449864705404,9.720083236694336
23,10.465761184692383,9.922359466552734
24,9.838179588317871,10.183082580566406
25,9.199057896931967,10.229907035827637
26,10.073494911193848,10.29572868347168
27,10.686527729034424,10.374635696411133
28,10.218292236328125,10.456235885620117
29,9.35079034169515,10.275543212890625
30,9.28148365020752,9.981876373291016
31,10.136923789978027,9.776190757751465
32,8.916361172993978,9.701333045959473
33,9.635800838470459,9.622284889221191
34,10.382610638936361,9.786767959594727
35,8.944080352783203,10.218220710754395
36,9.280547618865967,9.91206169128418
37,9.048593839009603,9.8673734664917
38,9.67670981089274,9.86832332611084
39,8.997790813446045,9.849150657653809
40,10.90936279296875,10.088676452636719
41,9.351576169331869,10.066819190979004
42,8.9564208984375,9.715802192687988
43,8.208848317464193,9.715215682983398
44,9.157371838887533,9.770737648010254
45,9.642061710357666,9.443130493164062
46,8.961724917093912,9.532137870788574
47,9.005276044209799,9.930107116699219
48,8.684377670288086,9.382078170776367
49,8.435797532399496,9.269746780395508
